participante,comentário
15ae4086-4952-4aac-a16b-5c2852e5e523,"bom dia, gente"
15ae4086-4952-4aac-a16b-5c2852e5e523,tenham um bom evento
74a428fb-ce18-49d7-851b-7bfe5742e054,vai começar
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,finalmente mais secom
7d582411-e617-4105-8edf-bca7ee066eca,gostei bastante da decoração
ad08e116-810d-4533-a7c6-9782fcb55f6d,que seja mais uma excelente secom
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,credenciamento organizado
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,cachorro cupuaçu
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,decoração muito boa
e2b6d403-470e-4752-8767-48575bb10c67,bom evento ai galera
15ae4086-4952-4aac-a16b-5c2852e5e523,tá cedo pra querer saber qual é o shampoo do patrick
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,"estou me sentindo na renner com a playlist 
bom dms"
15ae4086-4952-4aac-a16b-5c2852e5e523,quem vai me passar a playlist dessa abertura aí
15ae4086-4952-4aac-a16b-5c2852e5e523,"devia ter um jeito de ver todos os comentários, isso é paias"
226440c8-ce0c-42b8-a37b-8435e915955d,animada para a secom
d13dce39-51a4-4170-8b39-f06cb1f6adf6,ansiosa para o coffee break
4a38eef3-4375-45b4-b386-649cb518c20b,to com fome ja gente kkkkk
d13dce39-51a4-4170-8b39-f06cb1f6adf6,estou super animada para a secom
4a38eef3-4375-45b4-b386-649cb518c20b,"os novos comentários do pessoal não estão mostrando pra mim, paias"
700f7b0c-46a5-4f88-b605-7015d0660e2b,ótimo evento
a9d36446-c85c-43d3-bccf-8084d2231951,gostei muito da organização
a9d36446-c85c-43d3-bccf-8084d2231951,da apresentação de abertura
700f7b0c-46a5-4f88-b605-7015d0660e2b,muito bom
4395eb8b-e6f9-4282-85dc-98453a11cc3e,🥳🥳
f436cb6f-b331-4a0c-ba41-567a1f74ef05,a decoração esta incrivel
7568d4e3-7c42-4c07-9246-161f8f144017,muito bom as palmas para a gláucia
7568d4e3-7c42-4c07-9246-161f8f144017,o para o nacif
f436cb6f-b331-4a0c-ba41-567a1f74ef05,ansioso para a gamejam
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal o projeto da gamehub
7568d4e3-7c42-4c07-9246-161f8f144017,opções duplicadas no questionário de avaliação do my mobiconf
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,time aseta➡️
03164614-b683-45b1-98f0-7179e65cd4ed,"achei o fotógrafo muito charmoso, alguém sabe me falar qual o nome dele"
12c8e1ec-c662-415a-b106-b64ccb7ece3f,parabéns aos professores daniel
12c8e1ec-c662-415a-b106-b64ccb7ece3f,philipe pelo projeto
12c8e1ec-c662-415a-b106-b64ccb7ece3f,os alunos envolvidos
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,cofe breaqui
226440c8-ce0c-42b8-a37b-8435e915955d,adorei o tema da gamejan
19f49226-5a60-463b-85d3-ac562e4eddc4,tema da gamejam muito daora
19f49226-5a60-463b-85d3-ac562e4eddc4,projeto incrível organizado pelo daniel
19f49226-5a60-463b-85d3-ac562e4eddc4,philipe
c9e2374f-bf33-4003-b871-6ecb5ae22aee,coffee break muito bom
c9e2374f-bf33-4003-b871-6ecb5ae22aee,secom promete…
